id,title,image,description,url,category,createdAt,updatedAt
clfpftgpk00021drejv5ohrzc,Radix UI,https://res.cloudinary.com/athena-com/image/upload/v1679831512/radix_jspgvf.png,"Radix Primitives provides a fully-typed API. All components share a similar API, creating a consistent and predictable experience.",https://www.radix-ui.com/,development,2023-03-26 13:30:04.213,2023-03-26 13:30:04.213
clfpfvav100041drej037ilbz,Coolors,https://res.cloudinary.com/athena-com/image/upload/v1676579027/Coolors_osnopp.jpg,Generate or browse beautiful color combinations for your designs.,https://coolors.co/,design,2023-03-26 13:31:29.92,2023-03-26 13:31:29.92
clfpg0gr100061drersshru4g,Supabase,https://res.cloudinary.com/athena-com/image/upload/v1679831521/supabase_q0k0cz.jpg,"Supabase is an open source Firebase alternative. Start your project with a Postgres database, Authentication, instant APIs, Edge Functions, ...",https://supabase.com/,development,2023-03-26 13:35:30.856,2023-03-26 13:35:30.856
clfpg1iki00081dre5v9ufguy,Figma,https://res.cloudinary.com/athena-com/image/upload/v1679828397/figma_rfk664.jpg,"Créez de meilleurs produits en équipe. Concevez, fabriquez des prototypes et collectez du feedback en un seul et même endroit avec Figma.",https://www.figma.com/fr/,design,2023-03-26 13:36:19.872,2023-03-26 13:36:19.872
clfpg2op3000a1drex6mt5spq,Headless UI,https://res.cloudinary.com/athena-com/image/upload/v1676577225/headlessui_rldcm0.png,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS. React Vue. Menu (Dropdown) · Listbox (Select).",https://headlessui.com/,development,2023-03-26 13:37:14.473,2023-03-26 13:37:14.473
clfpg6vls000c1dre84k0oarx,Mailchimp,https://res.cloudinary.com/athena-com/image/upload/v1679828037/mailchimp_rgnrsu.jpg,"Win new customers with the #1 email marketing and automations brand* that recommends ways to get more opens, clicks, and sales.",https://mailchimp.com/fr/?currency=EUR,marketing,2023-03-26 13:40:29.982,2023-03-26 13:40:29.982
clfpg7wug000e1dre59n23txu,ZeroHeight,https://res.cloudinary.com/athena-com/image/upload/v1679828083/zero-height_pyuqwq.png,Create beautiful design system documentation collaboratively with zeroheight.,https://zeroheight.com/,design,2023-03-26 13:41:18.302,2023-03-26 13:41:18.302
clfpg8v2a000g1drea91j8w04,Heroicons,https://res.cloudinary.com/athena-com/image/upload/v1676577967/heroicons_aw6oub.jpg,"Beautiful hand-crafted SVG icons, by the makers of Tailwind CSS. 292 icons. MIT license. React & Vue libraries. Documentation Get Figma File. Outline",https://heroicons.com/,design,2023-03-26 13:42:02.655,2023-03-26 13:42:02.655
clfpga36x000i1dre2ccop580,Sentry,https://res.cloudinary.com/athena-com/image/upload/v1679829877/sentry_bpaice.jpg,"Your entire organization needs visibility into application health. Sentry provides context to uncover insights for engineers, support, product, and beyond.",https://sentry.io/welcome/,development,2023-03-26 13:42:59.853,2023-03-26 13:42:59.853
clfpgb2ng000k1dre4lhyiam9,Javascript info,https://res.cloudinary.com/athena-com/image/upload/v1679831283/javascript-tuto_hr1lr7.png,"Modern JavaScript Tutorial: simple, but detailed explanations with examples and tasks, including: closures, document and events, object oriented programming ...",https://javascript.info/,development,2023-03-26 13:43:45.791,2023-03-26 13:43:45.791
clfpgc4x6000m1dret2ic40q4,Mock Service Worker,https://res.cloudinary.com/athena-com/image/upload/v1676577965/msw_px3hex.png,"Mock by intercepting requests on the network level. Seamlessly reuse the same mock definition for testing, development, and debugging.",https://mswjs.io/,development,2023-03-26 13:44:35.4,2023-03-26 13:44:35.4
clfpgdeqi000o1dreu1678hbk,Tally form,https://res.cloudinary.com/athena-com/image/upload/v1679828089/tally_pnzplm.jpg,"Tally is the simplest way to create free forms & surveys. Create any type of form in seconds, without knowing how to code, and for free.",https://tally.so/,marketing,2023-03-26 13:45:34.779,2023-03-26 13:45:34.779
clfpgelo9000q1dreax7p1ld3,Undraw,https://res.cloudinary.com/athena-com/image/upload/v1676579027/undraw_cay46f.png,Open-source illustrations for any idea you can imagine and create. · A constantly updated design project with beautiful SVG images that you can use,https://undraw.co/,design,2023-03-26 13:46:30.382,2023-03-26 13:46:30.382
clfpim17f000s1dre01ryz2jf,XState,https://res.cloudinary.com/athena-com/image/upload/v1679842016/xstate_pjutpr.png,JavaScript and TypeScript finite state machines and statecharts for the modern web.,https://xstate.js.org/,development,2023-03-26 14:48:16.38,2023-03-26 14:48:16.38
clfxq5843000e28fpsxnfsqsc,Drizzle,https://avatars.githubusercontent.com/u/108468352?s=200&v=4,Super ORM plus rapide que Prisma :),https://github.com/drizzle-team/drizzle-orm,development,2023-04-01 08:41:18.501,2023-04-01 08:41:18.501